"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","23","10","3","14","4","8","77","19","22","15","1","89","37","6","5","71","48","98","29","33","12","42","49","99","41","39","16","31","68","27","81","83","44"
"2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"107","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"111","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
